"Id2","Geography","Total..Estimate..Households","Households.receiving.food.stamps..Estimate..Households","Total..Estimate..With.children.under.18.years","Households.receiving.food.stamps..Estimate..With.children.under.18.years","Total..Estimate..POVERTY.STATUS.IN.THE.PAST.12.MONTHS...Below.poverty.level","Households.receiving.food.stamps..Estimate..POVERTY.STATUS.IN.THE.PAST.12.MONTHS...Below.poverty.level","Total..Estimate..Hispanic.or.Latino.origin..of.any.race.","Households.receiving.food.stamps..Estimate..Hispanic.or.Latino.origin..of.any.race."
37135011700,"Census Tract 117, Orange County, North Carolina",1142,54,"19.1","18.5","34.6","81.5","3.5","0.0"
37135011800,"Census Tract 118, Orange County, North Carolina",1310,23,"23.2","56.5","27.9","100.0","3.7","26.1"
37135011901,"Census Tract 119.01, Orange County, North Carolina",2375,196,"26.5","17.3","16.7","58.2","4.5","17.3"
37135011902,"Census Tract 119.02, Orange County, North Carolina",1739,42,"32.0","54.8","3.4","0.0","3.9","0.0"
37135012100,"Census Tract 121, Orange County, North Carolina",3283,134,"24.8","73.9","12.8","26.1","3.0","0.0"
37135012201,"Census Tract 122.01, Orange County, North Carolina",1066,0,"31.3","-","2.9","-","0.9","-"
37135012202,"Census Tract 122.02, Orange County, North Carolina",1868,248,"53.3","68.1","17.4","53.6","5.2","28.2"
37183050100,"Census Tract 501, Wake County, North Carolina",1262,94,"7.9","0.0","12.5","77.7","1.3","17.0"
37183050300,"Census Tract 503, Wake County, North Carolina",1780,323,"3.4","0.0","21.2","76.8","1.7","0.0"
37183050400,"Census Tract 504, Wake County, North Carolina",772,15,"18.9","20.0","7.1","46.7","0.0","0.0"
37183050500,"Census Tract 505, Wake County, North Carolina",1659,238,"19.8","78.2","16.7","86.1","1.4","0.0"
37183050600,"Census Tract 506, Wake County, North Carolina",1239,291,"24.6","42.6","18.2","46.0","0.0","0.0"
37183050700,"Census Tract 507, Wake County, North Carolina",1354,458,"31.0","46.5","36.8","71.8","4.0","4.4"
37183050800,"Census Tract 508, Wake County, North Carolina",863,414,"34.8","37.0","55.3","74.6","20.5","11.4"
37183050900,"Census Tract 509, Wake County, North Carolina",690,364,"46.1","55.8","56.7","70.3","2.5","0.0"
37183051000,"Census Tract 510, Wake County, North Carolina",1200,168,"10.1","14.9","26.7","60.7","1.9","0.0"
37183051101,"Census Tract 511.01, Wake County, North Carolina",616,89,"30.0","16.9","34.7","52.8","10.6","0.0"
37183051102,"Census Tract 511.02, Wake County, North Carolina",49,4,"8.2","100.0","55.1","0.0","8.2","100.0"
37183051200,"Census Tract 512, Wake County, North Carolina",1856,17,"10.2","0.0","26.6","0.0","2.3","0.0"
37183051400,"Census Tract 514, Wake County, North Carolina",2094,160,"25.6","40.6","28.5","75.6","2.3","0.0"
37183051501,"Census Tract 515.01, Wake County, North Carolina",1325,5,"30.0","0.0","5.9","0.0","0.5","0.0"
37183051502,"Census Tract 515.02, Wake County, North Carolina",1015,102,"32.4","96.1","24.3","89.2","1.5","0.0"
37183051600,"Census Tract 516, Wake County, North Carolina",1866,11,"28.0","0.0","2.5","0.0","0.0","0.0"
37183051700,"Census Tract 517, Wake County, North Carolina",1196,0,"39.8","-","3.2","-","0.7","-"
37183051800,"Census Tract 518, Wake County, North Carolina",2149,97,"20.1","73.2","8.6","100.0","1.7","0.0"
37183051900,"Census Tract 519, Wake County, North Carolina",2054,374,"29.9","66.8","23.4","65.2","6.3","4.5"
37183052001,"Census Tract 520.01, Wake County, North Carolina",1413,459,"39.9","64.1","31.4","60.6","26.5","15.9"
37183052002,"Census Tract 520.02, Wake County, North Carolina",1594,452,"40.7","65.0","19.6","38.9","2.7","1.8"
37183052101,"Census Tract 521.01, Wake County, North Carolina",2605,492,"40.2","39.8","16.0","40.0","11.4","2.8"
37183052102,"Census Tract 521.02, Wake County, North Carolina",1951,463,"50.0","71.7","22.9","60.3","11.8","0.0"
37183052301,"Census Tract 523.01, Wake County, North Carolina",2632,10,"14.5","0.0","20.8","0.0","3.1","0.0"
37183052302,"Census Tract 523.02, Wake County, North Carolina",2610,198,"13.6","69.2","40.3","55.6","2.6","0.0"
37183052401,"Census Tract 524.01, Wake County, North Carolina",1349,71,"24.0","70.4","16.5","39.4","4.7","0.0"
37183052404,"Census Tract 524.04, Wake County, North Carolina",1505,79,"27.2","87.3","17.2","72.2","7.7","29.1"
37183052406,"Census Tract 524.06, Wake County, North Carolina",2939,445,"27.7","65.8","22.6","51.7","7.4","6.3"
37183052407,"Census Tract 524.07, Wake County, North Carolina",1731,101,"18.5","63.4","30.0","63.4","10.6","36.6"
37183052408,"Census Tract 524.08, Wake County, North Carolina",1131,202,"21.5","71.8","29.2","59.4","21.0","19.3"
37183052409,"Census Tract 524.09, Wake County, North Carolina",1305,62,"9.0","48.4","43.0","80.6","13.1","0.0"
37183052503,"Census Tract 525.03, Wake County, North Carolina",3079,85,"26.0","83.5","6.5","37.6","1.7","0.0"
37183052504,"Census Tract 525.04, Wake County, North Carolina",2469,171,"28.7","96.5","6.4","29.8","8.5","43.9"
37183052505,"Census Tract 525.05, Wake County, North Carolina",2225,107,"22.2","57.0","3.4","0.0","6.7","0.0"
37183052506,"Census Tract 525.06, Wake County, North Carolina",915,23,"20.8","78.3","4.9","21.7","1.5","60.9"
37183052507,"Census Tract 525.07, Wake County, North Carolina",1331,137,"27.3","86.1","6.3","26.3","8.2","16.8"
37183052601,"Census Tract 526.01, Wake County, North Carolina",1155,34,"32.1","100.0","2.4","0.0","0.0","0.0"
37183052602,"Census Tract 526.02, Wake County, North Carolina",1775,162,"19.4","29.0","8.2","27.8","0.4","0.0"
37183052603,"Census Tract 526.03, Wake County, North Carolina",1132,65,"35.1","75.4","7.4","52.3","2.2","38.5"
37183052701,"Census Tract 527.01, Wake County, North Carolina",2140,339,"32.3","62.8","16.6","47.2","17.9","32.7"
37183052704,"Census Tract 527.04, Wake County, North Carolina",2578,604,"46.3","81.5","25.6","65.7","26.2","36.9"
37183052705,"Census Tract 527.05, Wake County, North Carolina",1790,233,"27.4","76.4","12.4","21.9","7.8","33.0"
37183052706,"Census Tract 527.06, Wake County, North Carolina",1569,172,"35.4","55.2","10.4","24.4","15.2","0.0"
37183052707,"Census Tract 527.07, Wake County, North Carolina",2501,247,"31.5","38.1","14.2","54.3","8.4","0.0"
37183052801,"Census Tract 528.01, Wake County, North Carolina",2520,149,"37.9","59.7","4.7","46.3","1.0","0.0"
37183052802,"Census Tract 528.02, Wake County, North Carolina",2459,116,"27.4","87.1","8.2","75.0","6.1","37.9"
37183052803,"Census Tract 528.03, Wake County, North Carolina",3290,409,"42.3","83.9","16.4","59.9","10.7","31.1"
37183052806,"Census Tract 528.06, Wake County, North Carolina",4805,512,"51.2","95.3","10.7","26.6","14.3","7.6"
37183052807,"Census Tract 528.07, Wake County, North Carolina",1678,210,"35.5","100.0","7.3","27.1","7.5","27.6"
37183052808,"Census Tract 528.08, Wake County, North Carolina",3858,279,"31.3","66.7","6.5","50.9","2.5","11.5"
37183052809,"Census Tract 528.09, Wake County, North Carolina",929,154,"52.2","96.8","5.7","24.0","7.0","3.2"
37183052901,"Census Tract 529.01, Wake County, North Carolina",837,66,"29.7","63.6","7.5","48.5","5.0","36.4"
37183052902,"Census Tract 529.02, Wake County, North Carolina",1978,65,"40.2","78.5","7.0","36.9","4.4","36.9"
37183052903,"Census Tract 529.03, Wake County, North Carolina",1142,51,"45.3","54.9","8.7","88.2","3.9","0.0"
37183052904,"Census Tract 529.04, Wake County, North Carolina",2675,50,"41.5","100.0","5.2","40.0","3.6","0.0"
37183053003,"Census Tract 530.03, Wake County, North Carolina",2669,13,"29.0","100.0","13.8","100.0","3.4","0.0"
37183053004,"Census Tract 530.04, Wake County, North Carolina",1052,0,"27.7","-","1.8","-","2.5","-"
37183053005,"Census Tract 530.05, Wake County, North Carolina",1789,44,"43.1","100.0","2.9","97.7","2.1","0.0"
37183053006,"Census Tract 530.06, Wake County, North Carolina",1088,0,"39.4","-","2.7","-","0.0","-"
